Date,Day,Cases,NewCases,D%Cases,ActiveCases,Deaths,NewDeaths,D%Deaths,MortalityRate,Tests,        NewTests,D%Tests,Recovered,NewRecovered,D%Recovered,Hospitalized,NewHospitalized,D%Hospitalized
2020-05-02,60.0,42534.0,2075.0,1.051286487555303,28900.0,1200.0,76.0,1.0676156583629892,0.028212723938496262,375096.0,32598.0,1.0951771981150256,12434.0,1305.0,1.117261209452781,5098.0,-189.0,-1.0370733621027854
2020-05-03,61.0,45928.0,3394.0,1.0797949875393802,31092.0,1286.0,86.0,1.0716666666666668,0.028000348371363875,385492.0,10396.0,1.0277155714803676,13550.0,1116.0,1.0897539005951424,5281.0,183.0,1.0358964299725382
2020-05-04,62.0,47372.0,1444.0,1.0314405155896185,31601.0,1344.0,58.0,1.0451010886469674,0.028371189732331336,406579.0,21087.0,1.0547015242858477,14427.0,877.0,1.0647232472324724,5435.0,154.0,1.0291611437227797
2020-05-05,63.0,51189.0,3817.0,1.0805750232204678,34332.0,1444.0,100.0,1.0744047619047619,0.028209185567211706,406579.0,0.0,1.0,15413.0,986.0,1.0683440770777015,5509.0,74.0,1.0136154553817847
2020-05-06,64.0,54817.0,3628.0,1.070874601965266,35757.0,1533.0,89.0,1.061634349030471,0.02796577703996935,448020.0,41441.0,1.1019260709480814,17527.0,2114.0,1.1371569454356711,5729.0,220.0,1.039934652387003
2020-05-07,65.0,58526.0,3709.0,1.0676614918729592,38511.0,1627.0,94.0,1.061317677756034,0.027799610429552677,473190.0,25170.0,1.0561805276550154,18388.0,861.0,1.049124208364238,5980.0,251.0,1.04381218362716
2020-05-08,66.0,61847.0,3321.0,1.0567440112086937,41121.0,1714.0,87.0,1.0534726490473263,0.02771355118275745,473190.0,0.0,1.0,19012.0,624.0,1.033935175114205,6155.0,175.0,1.0292642140468227
2020-05-09,67.0,65015.0,3168.0,1.0512231797823661,42955.0,1814.0,100.0,1.058343057176196,0.02790125355687149,494250.0,21060.0,1.0445064350472326,20246.0,1234.0,1.0649063749211025,6220.0,65.0,1.0105605199025183
2020-05-10,68.0,67307.0,2292.0,1.035253403060832,44069.0,1889.0,75.0,1.0413450937155457,0.02806543153015288,504930.0,10680.0,1.021608497723824,21349.0,1103.0,1.054479897263657,6601.0,381.0,1.0612540192926045
2020-05-11,69.0,68822.0,1515.0,1.0225088029476874,44455.0,1961.0,72.0,1.0381154049761778,0.02849379558861992,512869.0,7939.0,1.015722971501,22406.0,1057.0,1.0495105157150217,6648.0,47.0,1.0071201333131343
2020-05-12,70.0,72059.0,3237.0,1.0470343785417453,46678.0,2057.0,96.0,1.0489546149923508,0.028546052540279494,532169.0,19300.0,1.037631441947164,23324.0,918.0,1.0409711684370258,6862.0,214.0,1.0321901323706377
